Symbol,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property,property
?,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
?,son,syll,lab,dor,phar,voi,cont,,,,,,,,,,,,,,,,,,,,,,,,
œ,son,syll,lab,dor,phar,voi,cont,,,,,,,,,,,,,,,,,,,,,,,,
?,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
?,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
?,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
?,son,syll,lab,rnd,dor,back,phar,voi,cont,,,,,,,,,,,,,,,,,,,,,,
æ,son,syll,lab,dor,low,tense,phar,voi,cont,,,,,,,,,,,,,,,,,,,,,,
?,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
?,son,syll,lab,dor,phar,voi,cont,,,,,,,,,,,,,,,,,,,,,,,,
?,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
?,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
?,son,syll,lab,rnd,dor,back,phar,voi,cont,,,,,,,,,,,,,,,,,,,,,,
c?,cons,cor,dist,dor,high,cont,strid,d rel,,,,,,,,,,,,,,,,,,,,,,,
j?,cons,cor,dist,dor,high,voi,cont,strid,d rel,,,,,,,,,,,,,,,,,,,,,,
